User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
bstribl,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,6,3,0,,,,
bthoma59,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,5,5,0,,,,
bvillafl,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,5,4,0,,,,
c12,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,6,3,0,,,,
ccarol1,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,3,0,,,,
ccatindi,2018-06-16T00:00:00.000-05:00,2018-06-16T00:00:00.000-05:00,6,2,0,,,,
cchmie3,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,4,0,,,,
ccoop17,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,6,6,0,,,,
ccooper,2018-06-28T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,10,30,1,,,,
ccuenco,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,10,7,0,,,,
ccuenco,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,7,0,,,,
cdestura,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,12,3,0,,,,
cdunne1,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,10,0,0,,,,
cemery12,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,9,4,0,,,,
cflore23,2018-06-29T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,5,0,0,,,,
cfox24,2018-06-16T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,66,0,5,,,,
cfox24,2018-06-23T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,43,0,1,,,,
cfox24,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,11,0,0,,,,
chammon5,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,7,3,0,,,,
chaynes6,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,3,0,,,,
cl,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,5,7,0,,,,
clambe10,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,5,3,0,,,,
climsiac,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,8,1,0,,,,
clumang,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,5,7,0,,,,
cmincey4,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,16,10,0,,,,
cmincey4,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,8,10,0,,,,
cmincey4,2018-06-24T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,8,10,0,,,,
cnulud1,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,5,2,0,,,,
colavari,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,5,3,0,,,,
cpinto10,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,9,3,0,,,,
cprest2,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,6,3,0,,,,
